YEAR,MONTH,QTY_DEMANDED,QTY_SUPPLIED,DATE,SUPPLY_GAP
2013,January,162.0,136.0,2013-01-01,-26.0
2013,February,188.0,202.0,2013-02-01,14.0
2013,March,229.0,225.0,2013-03-01,-4.0
2013,April,220.0,204.0,2013-04-01,-16.0
2013,May,252.0,251.0,2013-05-01,-1.0
2013,June,322.0,353.0,2013-06-01,31.0
2013,July,331.0,261.0,2013-07-01,
2013,August,340.0,274.0,2013-08-01,-66.0
2013,September,247.0,283.0,2013-09-01,36.0
2013,October,325.0,329.0,2013-10-01,4.0
2013,November,342.0,301.0,2013-11-01,
2013,December,291.0,273.0,2013-12-01,-18.0
2014,January,247.0,342.0,2014-01-01,95.0
2014,February,225.0,220.0,2014-02-01,-5.0
2014,March,273.0,271.0,2014-03-01,-2.0
2014,April,264.0,372.0,2014-04-01,108.0
2014,May,303.0,307.0,2014-05-01,4.0
2014,June,324.0,321.0,2014-06-01,
2014,July,345.0,356.0,2014-07-01,11.0
2014,August,338.0,360.0,2014-08-01,22.0
2014,September,340.0,267.0,2014-09-01,-73.0
2014,October,304.0,389.0,2014-10-01,85.0
2014,November,244.0,271.0,2014-11-01,27.0
2014,December,184.0,223.0,2014-12-01,39.0
2015,January,181.0,391.0,2015-01-01,210.0
2015,February,308.0,357.0,2015-02-01,49.0
2015,March,310.0,460.0,2015-03-01,150.0
2015,April,316.0,480.0,2015-04-01,164.0
2015,May,335.5,509.0,2015-05-01,
2015,June,355.0,315.0,2015-06-01,-40.0
2015,July,307.0,425.0,2015-07-01,118.0
2015,August,251.0,367.0,2015-08-01,116.0
2015,September,348.0,455.0,2015-09-01,107.0
2015,October,326.0,491.0,2015-10-01,165.0
2015,November,369.0,434.0,2015-11-01,65.0
2015,December,316.5,414.0,2015-12-01,
2016,January,264.0,394.0,2016-01-01,130.0
2016,February,270.0,340.0,2016-02-01,70.0
2016,March,338.0,475.0,2016-03-01,137.0
2016,April,368.0,511.0,2016-04-01,143.0
2016,May,360.0,512.0,2016-05-01,152.0
2016,June,324.0,626.0,2016-06-01,302.0
2016,July,327.0,506.0,2016-07-01,
2016,August,330.0,502.0,2016-08-01,172.0
2016,September,298.25,482.0,2016-09-01,
2016,October,266.5,462.0,2016-10-01,
2016,November,234.75,517.0,2016-11-01,
2016,December,203.0,441.0,2016-12-01,238.0
2017,January,287.5,575.0,2017-01-01,
2017,February,372.0,438.0,2017-02-01,66.0
2017,March,1221.0,490.5,2017-03-01,
2017,April,842.5,543.0,2017-04-01,
2017,May,464.0,559.0,2017-05-01,95.0
2017,June,110.0,961.0,2017-06-01,851.0
2017,July,285.0,841.0,2017-07-01,
2017,August,460.0,721.0,2017-08-01,
2017,September,468.0,601.0,2017-09-01,
2017,October,476.0,610.0,2017-10-01,134.0
2017,November,390.0,771.0,2017-11-01,381.0
2017,December,379.0,659.0,2017-12-01,280.0
2018,January,450.0,636.0,2018-01-01,186.0
2018,February,489.0,499.0,2018-02-01,10.0
2018,March,392.0,540.0,2018-03-01,148.0
2018,April,350.5,479.0,2018-04-01,
2018,May,309.0,497.3333333333333,2018-05-01,
2018,June,358.0,515.6666666666666,2018-06-01,
2018,July,363.0,534.0,2018-07-01,171.0
2018,August,438.0,653.0,2018-08-01,215.0
2018,September,398.0,559.0,2018-09-01,161.0
2018,October,460.0,546.0,2018-10-01,
2018,November,343.0,533.0,2018-11-01,190.0
2018,December,257.0,566.0,2018-12-01,309.0
2019,January,291.0,521.0,2019-01-01,230.0
2019,February,312.0,447.0,2019-02-01,135.0
2019,March,328.0,540.0,2019-03-01,212.0
2019,April,327.0,530.0,2019-04-01,203.0
2019,May,425.0,631.0,2019-05-01,206.0
2019,June,311.0,487.0,2019-06-01,176.0
2019,July,308.0,469.0,2019-07-01,161.0
2019,August,383.0,586.0,2019-08-01,203.0
2019,September,276.0,495.0,2019-09-01,219.0
2019,October,227.0,429.0,2019-10-01,202.0
2019,November,253.0,358.0,2019-11-01,105.0
2019,December,255.0,524.0,2019-12-01,269.0
2020,January,354.0,451.0,2020-01-01,97.0
2020,February,338.0,423.0,2020-02-01,85.0
2020,March,384.0,466.0,2020-03-01,82.0
2020,April,299.0,332.0,2020-04-01,33.0
2020,May,243.0,371.0,2020-05-01,128.0
2020,June,332.0,465.0,2020-06-01,133.0
2020,July,346.0,457.0,2020-07-01,111.0
2020,August,286.0,461.0,2020-08-01,175.0
2020,September,233.0,352.0,2020-09-01,119.0
